GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC03_EST_VC56,HC03_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC03_EST_VC57,HC03_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59
1400000US48339691100,48339691100,"Census Tract 6911, Montgomery County, Texas",4271,232,60,76,1.4,1.8,0,13,,,,,100,88,,,,,100,88,,,,,133,98,,,,,162,100,,,,,1079,312,,,,,1879,336,,,,,2360,353,,,,
1400000US48339691200,48339691200,"Census Tract 6912, Montgomery County, Texas",7444,486,312,203,4.2,2.7,188,181,,,,,439,218,,,,,549,300,,,,,951,409,,,,,1251,434,,,,,1738,456,,,,,2244,418,,,,,2991,469,,,,
1400000US48339691301,48339691301,"Census Tract 6913.01, Montgomery County, Texas",4528,378,102,90,2.3,1.9,55,74,,,,,123,95,,,,,165,105,,,,,223,118,,,,,396,273,,,,,585,296,,,,,827,323,,,,,1175,348,,,,
1400000US48339691302,48339691302,"Census Tract 6913.02, Montgomery County, Texas",5874,511,655,418,11.2,6.9,363,399,,,,,1002,440,,,,,1317,520,,,,,2027,515,,,,,2301,540,,,,,3149,582,,,,,3918,597,,,,,4514,646,,,,
1400000US48339691400,48339691400,"Census Tract 6914, Montgomery County, Texas",10342,902,593,400,5.7,3.8,141,126,,,,,1143,510,,,,,1463,550,,,,,2227,688,,,,,2951,915,,,,,4601,1024,,,,,5843,1062,,,,,6748,1039,,,,
1400000US48339691500,48339691500,"Census Tract 6915, Montgomery County, Texas",4503,361,652,254,14.5,5.5,296,197,,,,,856,295,,,,,924,291,,,,,1112,340,,,,,1400,401,,,,,1998,406,,,,,2552,427,,,,,3053,487,,,,
1400000US48339691601,48339691601,"Census Tract 6916.01, Montgomery County, Texas",4045,248,356,142,8.8,3.5,183,111,,,,,576,194,,,,,680,190,,,,,714,192,,,,,714,192,,,,,1350,329,,,,,1660,342,,,,,2063,336,,,,
1400000US48339691602,48339691602,"Census Tract 6916.02, Montgomery County, Texas",5618,712,826,560,14.7,8.9,106,99,,,,,1055,671,,,,,1073,672,,,,,1321,716,,,,,1813,945,,,,,2446,916,,,,,3241,868,,,,,3930,903,,,,
1400000US48339691700,48339691700,"Census Tract 6917, Montgomery County, Texas",2101,205,73,39,3.5,1.8,47,37,,,,,92,44,,,,,119,49,,,,,159,58,,,,,171,61,,,,,263,82,,,,,467,148,,,,,593,170,,,,
1400000US48339691800,48339691800,"Census Tract 6918, Montgomery County, Texas",8972,630,607,389,6.8,4.4,428,381,,,,,1004,461,,,,,1586,576,,,,,2584,653,,,,,2666,652,,,,,4085,717,,,,,5195,780,,,,,6041,756,,,,
